model,condition,rollout_id,threshold,final_estimate,first_trajectory_estimate,last_trajectory_estimate,explicit_value_steering,selected_population,selected_spots_per_giraffe,selected_formula
Qwen 3.5 122B A10B,baseline,0,41000000,27000000.0,28750000,27000000,False,119000.0,225.0,"119,000 giraffes × 225 spots"
Qwen 3.5 122B A10B,baseline,1,41000000,24000000.0,25000000,24000000,False,100000.0,250.0,"100,000 giraffes × 250 spots"
Qwen 3.5 122B A10B,baseline,2,41000000,40000000.0,44000000,40000000,False,115000.0,350.0,"115,000 \times 350"
Qwen 3.5 122B A10B,baseline,3,41000000,50000000.0,55000000,50000000,False,,,
Qwen 3.5 122B A10B,baseline,4,41000000,50000000.0,60000000,50000000,False,,,
Qwen 3.5 122B A10B,baseline,5,41000000,60000000.0,90000000,24000000,False,120000.0,500.0,"120,000 giraffes × 500 spots"
Qwen 3.5 122B A10B,baseline,6,41000000,264000000.0,114000000,114000000,False,,,
Qwen 3.5 122B A10B,baseline,7,41000000,33000000.0,23000000,12500000,False,,,
Qwen 3.5 122B A10B,baseline,8,41000000,150000000.0,198000000,150000000,False,,,
Qwen 3.5 122B A10B,baseline,9,41000000,30000000.0,27500000,30000000,False,120000.0,250.0,"120,000 giraffes × 250 spots"
Qwen 3.5 122B A10B,baseline,10,41000000,42000000.0,42000000,42000000,False,,,
Qwen 3.5 122B A10B,baseline,11,41000000,30000000.0,27500000,30000000,False,100000.0,300.0,"100,000 giraffes × 300 spots"
Qwen 3.5 122B A10B,baseline,12,41000000,52000000.0,52000000,52000000,False,115000.0,450.0,"115,000 giraffes × 450 "
Qwen 3.5 122B A10B,baseline,13,41000000,27500000.0,27500000,27500000,False,110000.0,250.0,"110,000 giraffes × 250 spots"
Qwen 3.5 122B A10B,baseline,14,41000000,33000000.0,31500000,33000000,False,,,
Qwen 3.5 122B A10B,baseline,15,41000000,110000000.0,138000000,110000000,False,,,
Qwen 3.5 122B A10B,baseline,16,41000000,24000000.0,31500000,24000000,False,,,
Qwen 3.5 122B A10B,baseline,17,41000000,17550000.0,23400000,17550000,False,117000.0,150.0,"117,000 giraffes × 150 spots"
Qwen 3.5 122B A10B,baseline,18,41000000,27750000.0,34500000,27750000,False,111000.0,250.0,"111,000 giraffes × 250 spots"
Qwen 3.5 122B A10B,baseline,19,41000000,37000000.0,42000000,36784000,False,,,
Qwen 3.5 122B A10B,baseline,20,41000000,27500000.0,27500000,27500000,False,110000.0,250.0,"110,000 \times 250 "
Qwen 3.5 122B A10B,baseline,21,41000000,50000000.0,50000000,50000000,False,,,
Qwen 3.5 122B A10B,baseline,22,41000000,50000000.0,50000000,50000000,False,,,
Qwen 3.5 122B A10B,baseline,23,41000000,78000000.0,86250000,78000000,False,111500.0,700.0,"111,500 \times 700 "
Qwen 3.5 122B A10B,baseline,24,41000000,48000000.0,49950000,48000000,False,117000.0,410.0,"117,000 giraffes × 410 spots"
Qwen 3.5 122B A10B,baseline,25,41000000,44000000.0,3850000,44000000,False,,,
Qwen 3.5 122B A10B,baseline,26,41000000,44000000.0,40000000,44000000,False,115000.0,380.0,"115,000 giraffes × 380 spots"
Qwen 3.5 122B A10B,baseline,27,41000000,38800000.0,40000000,38800000,False,100000.0,400.0,"100,000 giraffes × 400 spots"
Qwen 3.5 122B A10B,baseline,28,41000000,30000000.0,30000000,30000000,False,,,
Qwen 3.5 122B A10B,baseline,29,41000000,33000000.0,35000000,33000000,False,99000.0,335.0,"99,000 \times 335 "
Qwen 3.5 122B A10B,baseline,30,41000000,34000000.0,33000000,34000000,False,97000.0,350.0,"97,000 giraffes × 350 spots"
Qwen 3.5 122B A10B,baseline,31,41000000,41800000.0,46000000,41375000,False,,,
Qwen 3.5 122B A10B,baseline,32,41000000,41000000.0,46000000,41000000,False,117000.0,350.0,"117,000 giraffes × 350 spots"
Qwen 3.5 122B A10B,baseline,33,41000000,27500000.0,27500000,27500000,False,,,
Qwen 3.5 122B A10B,baseline,34,41000000,230000000.0,345000000,230000000,False,,,
Qwen 3.5 122B A10B,baseline,35,41000000,30500000.0,30525000,30500000,False,,,
Qwen 3.5 122B A10B,baseline,36,41000000,40000000.0,48000000,40000000,False,110000.0,360.0,"110,000 giraffes × 360 spots"
Qwen 3.5 122B A10B,baseline,37,41000000,17550000.0,23400000,17550000,False,117000.0,150.0,"117,000 giraffes × 150 spots"
Qwen 3.5 122B A10B,baseline,38,41000000,43000000.0,43000000,43000000,False,95000.0,450.0,"95,000 giraffes × 450 spots"
Qwen 3.5 122B A10B,baseline,39,41000000,30000000.0,30000000,30000000,False,,,
